"R0000100","R0536300","R0536401","R0536402","R0536600","R1201300","R1204500","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R2516200","R3828100","R5342000","R7085900","S1527400","S3592800","S4967700","S6707500","S8680100","T1100000","T3177200","T4588300","T6221600","T7718800","T9119400","U1110900"
1,2,9,1981,15,3,-3,1,16,8,16,8,4,17,18,19,20,21,22,23,24,25,26,27,28,29,29,32,34
2,1,7,1982,14,-4,-4,1,17,15,14,15,2,16,17,18,19,20,21,22,23,-5,-5,26,27,28,29,31,33
3,2,9,1983,13,1,63000,1,-3,12,-4,12,2,15,16,17,18,19,20,21,-5,-5,-5,-5,26,-5,28,30,-5
4,2,2,1981,15,3,11700,1,12,12,-4,12,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5,1,10,1982,15,3,-3,1,12,12,12,12,2,16,17,18,19,20,21,22,23,24,25,26,26,28,29,31,33
6,2,1,1982,15,1,-3,1,-3,12,-4,12,2,16,17,19,20,20,22,23,24,25,25,26,27,28,29,31,34
7,1,4,1983,14,1,-3,1,-3,12,-4,12,2,15,16,17,18,19,-5,-5,22,23,-5,-5,26,27,28,-5,32
8,2,6,1981,16,3,-3,1,6,12,6,12,4,17,18,19,20,21,22,23,24,25,26,-5,28,-5,30,-5,34
9,1,10,1982,15,3,-3,1,6,12,6,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
10,1,3,1984,14,3,-3,1,6,12,6,12,4,14,15,16,17,18,19,20,21,22,23,24,25,-5,-5,-5,-5
11,2,6,1982,15,1,25000,1,12,14,-4,14,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
12,1,10,1981,15,1,0,1,-3,12,12,12,2,17,18,19,20,21,22,23,-5,25,26,27,28,29,29,32,34
13,1,11,1984,12,-4,-4,1,-3,6,-4,6,2,13,15,16,16,18,18,20,21,22,23,24,25,26,26,29,31
14,1,7,1980,16,1,0,1,12,12,12,12,2,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,-5,35
15,2,1,1983,14,-4,-4,1,13,12,13,12,2,15,17,18,19,20,21,22,22,23,-5,-5,27,28,28,-5,-5
16,1,2,1982,15,3,13000,1,10,11,-4,11,2,16,17,18,20,20,21,22,23,25,25,27,27,28,29,31,33
17,2,11,1981,15,1,3750,1,-3,14,10,14,2,17,18,19,-5,-5,-5,23,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,2,1982,15,1,0,1,10,15,-4,15,1,16,17,19,-5,20,21,23,23,24,25,26,27,28,29,32,34
19,1,4,1984,12,1,0,1,10,15,-4,15,1,14,15,16,18,18,19,20,21,22,-5,-5,25,26,27,-5,31
20,1,12,1980,16,1,-3,1,10,11,-4,11,1,17,19,20,-5,21,22,24,-5,-5,-5,-5,-5,30,-5,-5,35
21,1,8,1982,14,3,0,1,11,13,-4,13,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
22,1,6,1982,14,1,-3,1,12,11,-4,11,2,16,17,18,19,20,21,22,-5,-5,25,-5,-5,28,29,31,33
23,2,1,1983,14,3,-3,1,10,10,-4,10,2,15,16,17,18,20,21,21,22,23,24,25,26,27,28,30,32
24,1,6,1984,12,3,-3,1,5,7,13,7,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
25,2,3,1983,13,1,0,1,12,12,12,12,2,15,16,17,18,19,21,21,22,23,24,25,26,27,28,30,32
26,1,10,1980,16,1,-3,1,-3,12,-4,12,1,18,19,20,21,22,23,24,25,26,27,28,29,30,30,33,35
27,1,5,1981,15,1,-3,1,8,10,-4,10,1,-5,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
28,2,11,1983,13,2,13000,1,12,12,16,12,1,15,16,17,18,19,20,21,22,23,24,25,25,27,27,30,32
29,2,1,1983,14,2,-3,1,-3,-3,-3,-3,4,16,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,6,1981,15,1,-3,1,-3,-3,-3,-3,4,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,7,1982,14,-4,-4,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
32,2,7,1981,15,-4,-4,1,16,16,16,16,4,17,18,-5,20,21,22,23,-5,-5,-5,27,28,29,30,32,34
33,2,12,1980,16,1,-3,1,16,14,16,14,4,18,18,19,21,22,22,23,25,25,26,27,28,29,30,32,34
34,2,12,1984,12,2,9800,1,9,16,9,16,4,14,15,16,17,18,19,19,20,21,22,23,24,25,26,29,30
35,1,1,1983,13,-4,-4,1,-3,-3,-3,-3,4,16,16,17,18,19,20,22,22,23,24,25,26,27,28,30,32
36,2,8,1980,16,1,40500,1,16,15,16,15,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
37,2,11,1980,16,1,47500,1,11,-3,11,-3,4,18,19,20,21,22,23,24,25,26,27,27,29,30,31,33,35
38,2,9,1981,15,1,47500,1,11,-3,11,-3,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
39,1,2,1980,16,3,-3,1,-3,-3,-3,-3,2,19,19,20,21,22,23,24,25,-3,27,28,29,-5,31,34,35
40,2,5,1984,12,-4,-4,1,12,12,12,12,4,14,15,16,17,18,-5,20,-5,-5,-5,-5,-5,-5,-5,-5,-5
41,2,1,1983,14,-4,-4,1,12,12,12,12,4,16,16,17,18,19,20,22,22,23,24,25,26,27,28,30,32
42,1,8,1983,13,-4,-4,1,-3,-3,-3,-3,4,15,16,17,18,19,20,21,22,23,24,25,26,27,-5,-5,-5
43,2,10,1981,15,1,-3,1,-4,-3,-4,-3,1,17,18,19,-5,21,22,23,24,24,26,27,27,29,29,32,34
44,1,12,1981,15,3,0,1,-3,-3,-3,-3,2,17,18,19,20,21,22,22,24,25,26,27,27,28,29,31,33
45,2,2,1984,13,1,-3,1,-4,8,-4,8,1,15,16,17,18,18,20,21,21,22,23,24,25,26,27,29,31
46,1,2,1984,13,1,-3,1,-4,8,-4,8,1,15,15,16,17,18,19,21,-5,-5,-5,24,-5,-5,28,30,31
47,2,9,1982,14,1,5500,1,-4,11,-4,-4,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
48,2,7,1983,13,1,5500,1,-4,11,-4,-4,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
